key(String),amplitude(double),node(number),seconds(number)
"-M8wNS258xv6nzLJvAZz","378","1","65.675"
"-M8wNS50ZseE3ICcoyNV","1810","3","66.016"
"-M8wNS7Ur9n3UJiH8iOH","1097","0","66.061"
"-M8wNSAeZfP6z770dJev","1623","3","66.376"
"-M8wNSGIFUFPL4Rpl8Yr","1299","3","66.736"
"-M8wNSyGmx9S7ar3zGEn","1082","3","69.616"
"-M8wNT-kEM5ae6i7wOm-","664","0","69.661"
"-M8wNT2u1HGg-Us4x_Ia","1456","3","69.976"
"-M8wNTAzJpHNyK1Tbax7","284","0","70.381"
"-M8wNTMEi2rk0wHf8MvX","254","0","71.101"
"-M8wNTRsNu8V_dTeH_lu","600","0","71.461"
"-M8wNTXUfersC2KGW7Ag","688","0","71.821"
"-M8wNTc6S9kzlcaNhz09","534","0","72.18"
"-M8wNTszAPNsPBCDcN8N","582","0","73.26"
"-M8wNU8rWL-yvVCx-TmR","313","0","74.34"
"-M8wNUC0MUDXVK0KnvU6","1207","3","74.656"
"-M8wNUHeNkbpR6MbHcku","1297","3","75.016"
"-M8wNUNH1WpTzscYhe3k","1296","3","75.377"
"-M8wNUSuD_ToOYuGaq05","1929","3","75.736"
"-M8wNVTT8LaUgvM2ykOy","443","1","79.715"
"-M8wNVYrql6NXJrkmAhR","528","0","80.1"
"-M8wNVdUrXxY_HDjh8ms","475","0","80.46"
"-M8wNVjMG6M4ruHT_Cl9","834","1","80.796"
"-M8wNW-DpaOqE1vCFJCe","1391","1","81.875"
"-M8wNW4qtmPEaxygwI2u","730","1","82.235"
"-M8wNWCmK_rG42Q-LeXC","1131","2","82.991"
"-M8wNWFrYOpnJJ7l6pfZ","295","0","82.981"
"-M8wNWIQR-xGaNCLqEHk","2006","2","83.351"
"-M8wNWO0QB0Od99kZ1U8","1568","2","83.71"
"-M8wNWUH3UpxP5EZV78o","1311","3","84.016"
"-M8wNWsS6hksGybOj5zo","483","1","85.475"
"-M8wNX2UhaZuXK761EIY","335","0","86.22"
"-M8wNXLu-_cJsWkgGJwc","1470","2","87.671"
"-M8wNXOz9QLej9MmrPOX","1588","0","87.66"
"-M8wNXRY5O-3Oor_3D3m","1441","2","88.032"
"-M8wNXUbqrAz9V6e_nSw","1581","0","88.021"
"-M8wNXUqFA_LNyzZnSBZ","457","1","87.996"
"-M8wNXerDd6Iutl2c4_j","295","0","88.741"
"-M8wNXvjWxrB_T1EjG54","696","0","89.82"
"-M8wNXytcvMXVrmgAqNp","1128","3","90.136"
"-M8wNY6A6Aus2ebIGe2j","2824","4","90.59"
"-M8wNYBbo868_SxTCenz","454","0","90.9"
"-M8wNYBpQGX1Nh_JXchY","570","1","90.875"
"-M8wNYC57xlOD-BL2RZB","4141","4","90.969"
"-M8wNYHEFQSYhywvY280","335","0","91.261"
"-M8wNYHSAALK_X7qeI6r","2812","1","91.235"
"-M8wNYHjEOgPkJ4dTgvB","3110","4","91.331"
"-M8wNYN4W-K1z5YrVId5","418","1","91.595"
"-M8wNYNK73YytmpFuKN_","2274","4","91.689"
"-M8wNYSwhrbov3HYv0Rq","1728","4","92.047"
"-M8wNYYb6wAe8IJGLiiT","1796","4","92.411"
"-M8wNYaG4L7G7nozFwWU","1668","3","92.656"
"-M8wNYfHclkGIJF9EvtD","1768","2","93.071"
"-M8wNYia4HjaBGlL0eYw","2709","1","93.035"
"-M8wNYoCKFXnnzfGh0R6","2763","1","93.395"
"-M8wNZ44_PQ-qRdYdP1Y","561","1","94.475"
"-M8wNZF6qxeBiEEduDkB","644","0","95.221"
"-M8wNZFKB8EbIpHq7e_o","733","1","95.195"
"-M8wNZFw2Qt6NWvYFcHU","3602","4","95.311"
"-M8wNZKjQYHHIihjyyIP","1490","0","95.58"
"-M8wNZKxTTNp4U9KBrLc","379","1","95.555"
"-M8wNZLsc1HkXQPLKpJC","1722","4","95.692"
"-M8wNZQMu2-1Le_qKa1S","1028","0","95.94"
"-M8wNZRqY9sEcArIIlwx","2136","4","96.073"
"-M8wNZSuGLSqJUL-jds6","1330","2","96.311"
"-M8wNZVzbOaVtZqpLIp6","1426","0","96.3"
"-M8wNZXYBFryccweSxj-","4711","4","96.439"
"-M8wNZabxuu05rMnvNYf","260","0","96.661"
"-M8wNZcMHlPHjt-4pPg3","5185","4","96.81"
"-M8wNZiH7mMbVje0KQlm","3997","4","97.191"
"-M8wNZlr9cdKDag4ZyqL","1049","0","97.381"
"-M8wNZnqSZXQ8Dxl9Jmg","3859","4","97.547"
"-M8wNZrUW2Zx1NciRWCS","1522","0","97.74"
"-M8wNZtUoM5XcraTx0By","5209","4","97.907"
"-M8wNZx6791JQioRY2u8","1108","0","98.1"
"-M8wNZzADtTfRTHAjNxV","4237","4","98.27"
"-M8wN_1j9dqVuJBFV9qY","346","0","98.46"
"-M8wN_3noMSLlvfLSR04","3006","4","98.631"
"-M8wN_7MT4RwLWWTxGQR","310","0","98.82"
"-M8wN_GAZRXF82Z9XNdW","1229","3","99.496"
"-M8wN_IbzAkMM7p1vv7e","338","0","99.54"
"-M8wN_LoWxiU5htsCrpk","1982","3","99.858"
"-M8wN_OEvjpKItAmWwwt","569","0","99.901"
"-M8wN_Tr1YRr35STWXog","867","0","100.261"
"-M8wN_WPcdLFD22zY6VC","915","2","100.631"
"-M8wN_ZUMc-XFCO614T5","262","0","100.62"
"-M8wN_jjmb4IRCYCNt6p","385","0","101.341"
"-M8wN_pMPFDYegvsQd6g","352","0","101.701"
"-M8wN_x1XbSGVWQRw-Vd","1201","4","102.23"
"-M8wNa-bJpJz-l37-B0N","407","0","102.42"
"-M8wNa-rCN9xmGuVMVzI","1769","1","102.396"
"-M8wNa1fxtwd583VlNxK","1735","4","102.591"
"-M8wNa5EAxMR_xwmTw20","954","0","102.781"
"-M8wNa5TcN2osottuuh2","2246","1","102.755"
"-M8wNa7F-Aas2Xy_H4s8","2691","4","102.947"
"-M8wNaArlimxOyTTDnzy","935","0","103.14"
"-M8wNaCtjKdvKVufSnhn","2122","4","103.31"
"-M8wNaDQ098earQ62dzS","1853","2","103.512"
"-M8wNaGUYWtNz5wIXueW","478","0","103.5"
"-M8wNaIXKxF4R_MF0-oU","1853","4","103.669"
"-M8wNaM69kvl7ivop-R8","390","0","103.86"
"-M8wNaRjGgDAKrN3wRpj","369","0","104.221"
"-M8wNaXMUpHY4qYN3vjX","342","0","104.581"
"-M8wNabz_2QL0AFfOQyU","1060","0","104.94"
"-M8wNacD-ctYWKdd6sGg","2624","1","104.915"
"-M8wNaf9v0pEohqiMq5K","3293","3","105.256"
"-M8wNahbdStM3xkKpFhG","650","0","105.3"
"-M8wNanE0xHWzhMF8gAL","420","0","105.66"
"-M8wNanVnxx2IQ9k9v_8","2007","1","105.637"
"-M8wNaqPzTavplJxZoK9","1237","3","105.976"
"-M8wNasr8w-2lrPgmvWc","380","0","106.021"
"-M8wNayUM0Q2jI5_iWav","374","0","106.381"
"-M8wNb8jfSW35ok8ilVU","460","0","107.101"
"-M8wNb8zhH2QFOBn_bLx","1902","1","107.076"
"-M8wNbEMJt1MBRJuO8Mi","1478","0","107.461"
"-M8wNbEa9cPdEqICsfi2","2287","1","107.436"
"-M8wNbHXcAHD5CDpRenp","1400","3","107.776"
"-M8wNbJz8XS3Kdhkb7hw","1547","0","107.821"
"-M8wNbKDzMWuZlyRZlg9","1519","1","107.795"
"-M8wNbPbK95wxXGcSx-I","406","0","108.181"
"-M8wNbPqKN4HxkOXE_G4","1515","1","108.155"
"-M8wNbVEwATx8k4c89z5","329","0","108.54"
"-M8wNbVT5b9ngQpPb0TI","2914","1","108.515"
"-M8wNbXmtUswhXrCxxVZ","1045","2","108.911"
"-M8wNb_rvQPTbIxbEiRb","300","0","108.901"
"-M8wNba6qJOHq2z0ntOn","3223","1","108.876"
"-M8wNbcP-uVpc5SwHsbw","1124","2","109.271"
"-M8wNbfiJ6ghC7waygBf","1008","1","109.235"
"-M8wNblM0u_44ktGkqGF","1703","1","109.596"
"-M8wNboGciQtgZb9XM-q","1277","3","109.935"
"-M8wNbqjQqncV49qiHXe","832","0","109.981"
"-M8wNbqz8fQVhAp3YuSO","1235","1","109.956"
"-M8wNbwM-M_dkm4Vlynk","504","0","110.34"
"-M8wNbwaPkOrDZokY0lp","1057","1","110.315"
"-M8wNc0zlC8k8ScMW_lR","282","0","110.701"
"-M8wNc6bO80YO7OBW4-b","254","0","111.061"
"-M8wNc9my5zqeGet_usQ","1049","3","111.376"
"-M8wNcHryhWu7x7mKAFH","264","0","111.781"
"-M8wNcI5fHYC8w7pnzov","1322","1","111.756"
"-M8wNcQ2tMvXZYmIzsvu","2012","2","112.511"
"-M8wNcQdIsWIb7ixbEQN","1859","3","112.456"
"-M8wNcT68j5zduwOGn7H","449","0","112.501"
